Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,2,0.4572372072372072,0.4876399655469423,0.484375,4.400039874017239,0.0798394605517387
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,3,0.615497737556561,0.6271770097857053,0.6307692307692307,5.893373571336269,0.0068823397159576
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,4,0.5738593666129898,0.598883140346555,0.5923076923076923,5.988288328051567,0.0101903155446052
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,0,0.6537756228195432,0.6601479915433405,0.6615384615384615,12.010958686470984,0.0751032531261444
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,1,0.6330688696646143,0.6568076859640443,0.6461538461538462,11.604457832872868,0.0100749507546424
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,2,0.1676413255360623,0.3333333333333333,0.3359375,4.286936812102795,0.0099372267723083
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,3,0.6643999564791644,0.6879846401585531,0.6846153846153846,10.216061137616634,0.0075380727648735
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,4,0.6951708523803354,0.6931304919109799,0.6923076923076923,15.414743214845656,0.0102811977267265
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,0,0.1685393258426966,0.3333333333333333,0.3284671532846715,4.4994102492928505,0.0403956249356269
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,1,0.1721611721611722,0.3333333333333333,0.3430656934306569,4.383620008826256,0.0745690315961837
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,2,0.1629629629629629,0.3333333333333333,0.3211678832116788,5.493363462388516,0.0073384717106819
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,3,0.1638733705772811,0.3333333333333333,0.3259259259259259,4.089656375348568,0.0404093861579895
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,4,0.1666666666666666,0.3333333333333333,0.3333333333333333,4.556176640093327,0.0082548484206199
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,p1,0,0.2594788858939802,0.3840579710144927,0.3795620437956204,5.404903344810009,0.1004618927836418
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,p1,1,0.2165905997277604,0.3565891472868217,0.364963503649635,5.597810387611389,0.0786055922508239
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,p1,2,0.1916511483550589,0.3478260869565217,0.3357664233576642,6.111114293336868,0.0040328651666641
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,p1,3,0.2076190476190476,0.3550724637681159,0.3481481481481481,5.6998151242733,0.0978806093335151
