variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent
p1,美6m5,MBA_1080,1080,12,5.929060504393218,0.5461223008764039,9.210941606545374
p1,美6m6,Thiram_1382,1382,15,2.6896673404164786,0.6227659214324626,23.154012842942542
p1,美6m6,MG_1616,1616,15,0.7014637390618113,0.5310938079634152,75.71222550630183
p1,美6m6,MBA_1080,1080,15,4.559652953158024,0.5057472482091045,11.091792586074408
p3,K4,Thiram_1382,1382,21,0.08936747926065573,0.009650415765803347,10.798576669770709
p3,K4,MG_1616,1616,21,0.12448201828068146,0.021929564682519057,17.616652577942926
p3,K4,MBA_1080,1080,21,0.001606180596886838,0.0003988986267365314,24.835228834770657
p3,K4m4,Thiram_1382,1382,14,0.09445571058738787,0.003385269386427586,3.583975352443753
p3,K4m4,MG_1616,1616,14,0.12967891843392482,0.005332428001496,4.112023809184549
p3,K4m4,MBA_1080,1080,14,0.012550128224982375,0.0005070054535191815,4.039842816186792
p3,K4m5,Thiram_1382,1382,12,0.09777636422810417,0.003691081698357283,3.7750244933901356
p3,K4m5,MG_1616,1616,12,0.1366078895153002,0.005322002867413243,3.8958239427432
p3,K4m5,MBA_1080,1080,12,0.0032189332483853624,0.0002177962337648407,6.76609972804154
p3,K4m6,Thiram_1382,1382,14,0.09173991667287366,0.0003097786345213361,0.33767049911975094
p3,K4m6,MG_1616,1616,14,0.1332333407191936,0.0006479596921780924,0.4863344930633773
p3,K4m6,MBA_1080,1080,14,0.003947214831302528,0.00028590345801509,7.243169430449918
p3,K5,Thiram_1382,1382,27,0.08929474419266545,0.011265419633676341,12.615994071688789
p3,K5,MG_1616,1616,27,0.13034140374231595,0.0255447297383541,19.598323330057003
p3,K5,MBA_1080,1080,27,0.01541250478246912,0.010848107721268532,70.38510530493176
p3,K5m4,Thiram_1382,1382,14,0.022514347248255743,0.0004954416249213647,2.200559578558282
p3,K5m4,MG_1616,1616,14,0.010488179583876963,0.0007309768895428328,6.969530638725264
p3,K5m4,MBA_1080,1080,14,0.1710386586795232,0.0038877957088119496,2.273050863955002
p3,K5m5,Thiram_1382,1382,14,0.09466052394201965,0.004013300390504515,4.239676924842181
p3,K5m5,MG_1616,1616,14,0.06724715831100299,0.004362822963485159,6.487743234157321
p3,K5m5,MBA_1080,1080,14,0.09795341417134272,0.004367767758799698,4.459025543672713
p3,K5m6,Thiram_1382,1382,16,0.11492837156032368,0.005975746004145989,5.199539437491669
p3,K5m6,MG_1616,1616,16,0.08683892592575723,0.003819197324421636,4.398024599805451
p3,K5m6,MBA_1080,1080,16,0.046333995650909496,0.005334469036475355,11.513077949647203
p3,K6,Thiram_1382,1382,14,0.1029510000325909,0.0038344687009487606,3.724557022015224
p3,K6,MG_1616,1616,14,0.1383836780747921,0.010745271930695579,7.764840536243075
p3,K6,MBA_1080,1080,14,0.024172155969783757,0.010902191226168832,45.1022707275141
p3,K6m4,Thiram_1382,1382,15,0.031200953680901214,0.001663296612712614,5.330915938414902
p3,K6m4,MG_1616,1616,15,0.02756478565568792,0.001816510648835083,6.589968344122607
p3,K6m4,MBA_1080,1080,15,0.1651544712677588,0.0007935163169228982,0.4804691697607143
p3,K6m5,Thiram_1382,1382,15,0.059436283814834366,0.003271848524646273,5.504799954921931
p3,K6m5,MG_1616,1616,15,0.016688529665791603,0.0033062555604597955,19.811544975331213
p3,K6m5,MBA_1080,1080,15,0.14029152616167648,0.003275673269024882,2.3349045795181462
p3,K6m6,Thiram_1382,1382,14,0.10955202803322364,0.008495478153221544,7.75474293423864
p3,K6m6,MG_1616,1616,14,0.04746074819416416,0.007204010004907438,15.178879977693342
