sample_index,preprocess,wavenumber,value
279,raw,949.0,11481.320388349515
279,raw,950.0,11490.317073170732
279,raw,951.0,11498.609756097561
279,raw,952.0,11501.876213592233
279,raw,953.0,11495.808252427185
279,raw,954.0,11506.070388349513
279,raw,955.0,11556.313106796117
279,raw,956.0,11596.346341463415
279,raw,957.0,11602.2
279,raw,958.0,11608.053658536584
279,raw,959.0,11613.90731707317
279,raw,960.0,11626.793689320388
279,raw,961.0,11686.74514563107
279,raw,962.0,11742.858536585367
279,raw,963.0,11747.980487804878
279,raw,964.0,11753.965853658536
279,raw,965.0,11802.258536585367
279,raw,966.0,11850.551219512196
279,raw,967.0,11885.831707317073
279,raw,968.0,11920.70975609756
279,raw,969.0,11943.246341463415
279,raw,970.0,11964.709756097562
279,raw,971.0,11998.69268292683
279,raw,972.0,12034.546341463416
279,raw,973.0,12039.4
279,raw,974.0,12037.448780487804
279,raw,975.0,12021.713235294117
279,raw,976.0,12001.860294117647
279,raw,977.0,12007.89512195122
279,raw,978.0,12023.50487804878
279,raw,979.0,12033.475609756097
279,raw,980.0,12040.792682926829
279,raw,981.0,12036.088235294117
279,raw,982.0,12024.323529411764
279,raw,983.0,11987.252450980392
279,raw,984.0,11932.595588235296
279,raw,985.0,11876.878048780489
279,raw,986.0,11820.292682926829
279,raw,987.0,11752.416666666666
279,raw,988.0,11673.249999999998
279,raw,989.0,11607.612745098038
279,raw,990.0,11557.857843137255
279,raw,991.0,11524.882352941177
279,raw,992.0,11515.078431372549
279,raw,993.0,11532.936274509804
279,raw,994.0,11595.926470588236
279,raw,995.0,11587.666666666664
279,raw,996.0,11441.098039215689
279,raw,997.0,11295.86453201971
279,raw,998.0,11153.746305418723
279,raw,999.0,11044.176470588236
279,raw,1000.0,11022.607843137255
279,raw,1001.0,11042.41666666667
279,raw,1002.0,11200.750000000007
279,raw,1003.0,11372.756157635478
279,raw,1004.0,11603.051724137931
279,raw,1005.0,11825.110837438418
279,raw,1006.0,12003.928571428569
279,raw,1007.0,12144.747549019608
279,raw,1008.0,12031.267156862743
279,raw,1009.0,11897.38669950738
279,raw,1010.0,11557.238916256163
279,raw,1011.0,11224.568965517254
279,raw,1012.0,11009.05172413794
279,raw,1013.0,10795.884236453207
279,raw,1014.0,10658.692118226603
279,raw,1015.0,10521.5
279,raw,1016.0,10475.933497536946
279,raw,1017.0,10430.366995073891
279,raw,1018.0,10422.071428571428
279,raw,1019.0,10414.92857142857
279,raw,1020.0,10522.854679802957
279,raw,1021.0,10638.125615763543
279,raw,1022.0,10689.068965517241
279,raw,1023.0,10733.650246305418
279,raw,1024.0,10744.009900990099
279,raw,1025.0,10749.702970297029
279,raw,1026.0,10775.283251231525
279,raw,1027.0,10804.100985221672
279,raw,1028.0,10901.655940594052
279,raw,1029.0,11013.28960396039
279,raw,1030.0,11033.302955665025
279,raw,1031.0,11031.82512315271
279,raw,1032.0,11065.866336633662
279,raw,1033.0,11109.925742574256
279,raw,1034.0,11183.89603960396
279,raw,1035.0,11267.31188118812
279,raw,1036.0,11328.930693069307
279,raw,1037.0,11382.891089108913
279,raw,1038.0,11514.910891089114
279,raw,1039.0,11677.287128712878
279,raw,1040.0,11787.163366336637
279,raw,1041.0,11874.539603960402
279,raw,1042.0,11996.084158415852
279,raw,1043.0,12133.70792079209
279,raw,1044.0,12290.772277227738
279,raw,1045.0,12457.85148514853
279,raw,1046.0,12704.29702970298
279,raw,1047.0,12995.386138613841
279,raw,1048.0,13281.97512437808
279,raw,1049.0,13565.805970149226
279,raw,1050.0,13908.571782178182
279,raw,1051.0,14289.01732673264
279,raw,1052.0,14780.947761193986
279,raw,1053.0,15350.350746268614
279,raw,1054.0,15956.450495049463
279,raw,1055.0,16589.1237623762
279,raw,1056.0,17316.614427860655
279,raw,1057.0,18118.6044776119
279,raw,1058.0,19056.179104477567
279,raw,1059.0,20104.68656716414
279,raw,1060.0,21250.17910447757
279,raw,1061.0,22478.288557213895
279,raw,1062.0,23672.251243781066
279,raw,1063.0,24835.932835820873
279,raw,1064.0,26019.146766169135
279,raw,1065.0,27220.39054726367
279,raw,1066.0,28171.32835820895
279,raw,1067.0,28881.776119402984
279,raw,1068.0,29406.402985074626
279,raw,1069.0,29745.208955223883
279,raw,1070.0,29751.375621890544
279,raw,1071.0,29411.32587064676
279,raw,1072.0,28806.339999999982
279,raw,1073.0,27914.339999999982
279,raw,1074.0,26893.843283582068
279,raw,1075.0,25734.14179104475
279,raw,1076.0,24468.432499999963
279,raw,1077.0,23083.182499999963
279,raw,1078.0,21714.032338308418
279,raw,1079.0,20363.03731343279
279,raw,1080.0,19087.13499999996
279,raw,1081.0,17899.38499999996
279,raw,1082.0,16839.744999999966
279,raw,1083.0,15930.494999999966
279,raw,1084.0,15123.709999999975
279,raw,1085.0,14437.209999999975
279,raw,1086.0,13852.369999999983
279,raw,1087.0,13386.869999999983
279,raw,1088.0,12934.479999999985
