sample_id,folder_name,mixture_order,family,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
S0226,m5,1,single,-17.745397884501614,-7.944192932530882,-12.701207,-33.602043,0.90328646,6.9103956
S0227,m5,1,single,-17.46334157639708,-7.086972519570344,-13.422708,-33.151276,0.81258136,6.996359
S0228,m5,1,single,-16.702665229869623,-7.977196100572908,-12.61469,-33.947136,0.9511806,6.8610034
S0229,m5,1,single,-17.409816699332108,-6.471488172031076,-13.9199705,-32.915073,0.651918,7.1589155
S0230,m5,1,single,-16.916931779743987,-7.663065691480993,-12.715966,-33.704678,0.9480848,6.8651004
S0231,m6,1,single,15.898955532040457,-8.56756993323862,10.835986,-3.8000138,14.369711,-8.942373
S0232,m6,1,single,-0.6070381434955399,-9.956001301024166,7.7315755,-4.765898,14.353197,-8.959655
S0233,m6,1,single,-4.243344809583883,-14.729700847801443,7.660542,-4.8022976,14.314573,-8.982519
S0234,m6,1,single,-4.770506711498707,-12.305825660477302,7.761972,-4.686893,14.311511,-8.9835005
S0235,m6,1,single,-0.6765405072506983,-16.6768552703416,8.328679,-3.5446713,14.325178,-8.968622
S0236,m6,1,single,4.984136978237549,-15.9949243503953,9.381844,-3.4945457,14.335838,-8.953664
S0237,m6,1,single,12.146202712266494,-12.097677947365867,9.794456,-3.5876887,14.393934,-8.959742
S0238,m6,1,single,21.9461515240085,-10.536708547738165,10.826227,-4.0502114,14.382022,-8.921127
S0239,m6,1,single,20.89369588693761,-8.713554882578363,10.762543,-4.0416417,14.302427,-8.871399
S0240,m6,1,single,24.107921017051222,-0.07526108295044592,11.854225,-4.3723874,14.409569,-8.888088
S0241,m6,1,single,22.18580409906977,0.8913391887957957,11.872294,-4.376467,14.348833,-8.948221
S0242,m6,1,single,24.564291462818765,-0.6762293999508369,11.842144,-4.3655567,14.409843,-8.8863945
S0243,m6,1,single,21.344454757053395,3.2772312198779208,11.98682,-4.407906,14.44093,-8.872159
